State,Park,Date-Time,Details,Image,Trail,Difficulty,Meeting Location,Minimum age for Children,Restrictions,Length of Trails(miles),Cancellation Information
Gerorgia,F.D. Roosevelt State Park,01-Jan-2015 01:00:00,"Celebrate a New Year with Pine Mountain Trail Association guides as they lead hikers through a diverse mixed hardwood forest.  Discover wildlife and historic CCC sites that make this Piedmont region park  notable.   Bring water and wear sturdy shoes.",http://gastateparks.org/FDRoosevelt,Mountain Creek,easy,Trading Post in the Campground,No minimum age.Not stroller accessible.,N/A,3,"706-663-4858 No charge. No registration necessary."
Gerorgia,Don Carter State Park,01-Jan-2015 02:00:00,"Join a ranger as we explore a beautiful backcountry area of the park before the trail is built. Our 2 mile cross country adventure will follow old road beds, ridges, hills and valleys. Moderate to strenuous. Call the Visitor Center to reserve a spot. Limited to 15 hikers  .Bring water and wear sturdy shoes.",http://gastateparks.org/DonCarter,Unnamed Trail,moderate,Visitor Center,8,No pets,2,"678-450-7726"
Gerorgia,Vogel State Park,01-Jan-2015 10:00:00,"Welcome in the New Year with an exhilarating 4 mile hike around the Bear Hair Trail.  The hike will be lead by volunteers from the Georgia Appalachian Trail Club (GATC).  They will share their vast knowledge of hiking and trail stories while surrounded by the beautiful views offered by the Bear Hair Trail.  Please, meet at the Vogel Visitor Center at 9 AM.  This hike will take you to the Bear Hair Overlook with vast
views of the valley below.
Bring water, snacks and sturdy shoes",http://gastateparks.org/Vogel,Bear Hair Trail,moderate,Visitor Center,8 and older,N/A,4,"706-745-2628"
Gerorgia,Tugaloo State Park,01-Jan-2015 10:00:00,"The ""Luck and Wealth Hike"" on the Muscidine Trail:  Welcome the New Year with a 1.2 - mile moderate hike on the Muscidine Trail. Finish the trail at our Beach Pavilion where hikers can add a little luck and wealth to their year by enjoying a sampling of black eyed peas and collard greens.  Register in advance at 706-356-4362 by December 30.  Come join us for the ""Luck and Wealth"" walk at Tugaloo State Park.  Bring water and wear sturdy shoes",http://gastateparks.org/Tugaloo,Muscadine Trail,moderate,Day Use Parking Lot,No minimum age but the trail is not accessible for strollers,N/A,1,"706-356-4362"
Gerorgia,Tallulah Gorge State Park,01-Jan-2015 10:00:00,"Start off the year with an awe inspiring hike that will keep you in awe and inspire you for the entire year.This hike will take you off the beaten path and to an area not normally open to the public and will last about 3 hours.   This hike takes you to an area not generally seen by the public.  Wear sturdy shoes and bring water and snacks.",http://gastateparks.org/TallulahGorge,Inspirational loop hike,moderate,Interpretive Center,8 and older,No pets,3,"706-754-7981"
Gerorgia,Stephen C. Foster,01-Jan-2015 09:00:00,"Meet at the park office for a hike on our 3/4 mile Trembling Earth Nature Trail. This hike will take you on our boardwalk through a mixed cypress and blackgum forest. On the way we will be on the lookout for the wildlife that inhabit the area, as well as some of the unique plant life. Come start the new year off right at Stephen Foster State Park.  Wear sturdy shoes.",http://gastateparks.org/StephenCFoster,Trembling Earth Nature Trail,easy,Park Office,No minimum age,N/A,1,"912-637-5274"
Gerorgia,Skidaway Island State Park,01-Jan-2015 01:00:00,"Enjoy an afternoon hike through the marsh.  This guided hike will discuss history of Skidaway Island, marsh plants and local animals.  ",http://gastateparks.org/SkidawayIsland,Avian Loop Hike,easy,Interpretive Center,No minimum age,N/A,2,"912-598-2300"
Gerorgia,Rocky Mountain Recreation & Public Fishing Area,01-Jan-2015 10:00:00,"Start the first day of the year with a hike around the nature trail.  During this Ranger led hike, you'll learn about the flora, fauna, history and uniqueness of Rocky Mountain. ",http://gastateparks.org/RockyMountainRecreation,Nature Trail,easy,Visitor Information Area,N/A,N/A,1,"706-802-5087"
Gerorgia,Reed Bingham State Park,01-Jan-2015 05:00:00,"Take a leisurely hike around the upland loop and enjoy s'mores around the campfire afterwards.  Bring water and wear sturdy shoes. ",http://gastateparks.org/ReedBingham,Upland Loop ,easy,trailhead,No minimum age but the trail is not accessible for strollers,N/A,1,"229-896-3551"
Gerorgia,Magnolia Springs State Park,01-Jan-2015 02:00:00,"Start the year right with a beautiful nature hike with fitness activities along the way led by a volunteer at 2:00 p.m. This easy hike is about 3 miles long. Meet at the park office, wear comfortable shoes, and bring water and a snack.",http://gastateparks.org/info/213249?c=5392441&dateid=2660,Fitness Nature Trail,easy,Visitor Center,No minimum age,N/A,3,"478-982-1660"
